year,IBTrACS_ID,TC_name,NatCatSERVICE_ID,genesis_basin,countries_affected,ISO3,v_land_SI,v_land_kn,pop_34kn,pop_64kn,pop_96kn,assets_34kn,assets_64kn,assets_96kn,pop_34kn_5km,pop_64kn_5km,pop_96kn_5km,assets_34kn_5km,assets_64kn_5km,assets_96kn_5km,pop_34kn_15km,pop_64kn_15km,pop_96kn_15km,assets_34kn_15km,assets_64kn_15km,assets_96kn_15km,pop_34kn_30km,pop_64kn_30km,pop_96kn_30km,assets_34kn_30km,assets_64kn_30km,assets_96kn_30km
1950,1950291N26271,LOVE,,,single,USA,39.9,77.5,1125081.9850800012,16170.070918945416,0.0,93217441049.8473,1723790392.1039724,0.0,197497.30295791585,392.527173638392,0.0,14711799592.083876,78893467.96926367,0.0,412700.0681758396,907.0736049679336,0.0,31863265306.634907,203367991.8302324,0.0,616772.3949725069,6073.546274093715,0.0,49647712871.00628,678064691.7956023,0.0
1950,1950301N09138,RUBY,,WP,single,JPN,19.8,38.6,6265.3163680989,0.0,0.0,72809426.9501,0.0,0.0,5898.532470699,0.0,0.0,62761037.216919996,0.0,0.0,6265.3163680989,0.0,0.0,72809426.9501,0.0,0.0,6265.3163680989,0.0,0.0,72809426.9501,0.0,0.0
1950,1950305N12145,CLARA,,WP,single,JPN,59.0,114.7,900936.5953022796,873077.7670325298,169642.32131094462,4995719802.764211,4721157762.894985,1142005712.850526,844450.3294061451,820017.581848591,157000.223632751,4488421806.933449,4267427804.9815,1048741248.7525,900933.6261207418,873074.7978509922,169642.32131094462,4995716794.293339,4721154754.424114,1142005712.850526,900936.5953022796,873077.7670325298,169642.32131094462,4995719802.764211,4721157762.894985,1142005712.850526
1950,1950322N07138,DELILAH,,WP,single,PHL,47.8,92.9,4228640.1276584985,2056360.6497675132,0.0,12556498681.365572,5466822349.069227,0.0,1618029.824342341,831097.4328499042,0.0,4636572021.772848,2190796327.1251965,0.0,3602436.110385591,1785656.820441018,0.0,10335830886.644224,4615701034.098029,0.0,4156252.783908549,2043582.1873651731,0.0,12286958437.47219,5424911374.098389,0.0
1950,1950360N10141,FRAN,,WP,single,PHL,54.8,106.4,9699588.50934444,7013681.778536458,105544.2322045383,26214414652.648968,16795599257.298073,382073431.66267204,2184072.226243751,1640787.5429684478,52988.33691412,5258118659.304813,3578090181.931725,180801861.17871,6166999.671656469,4934871.0867073685,105544.2322045383,14993655906.14578,10893750651.920887,382073431.66267204,8173925.892889149,6551457.594606782,105544.2322045383,20733223202.11228,15215604981.188654,382073431.66267204
1951,1951119N06145,IRIS,,WP,multi,JPN,39.8,77.3,394159.50407008,2.0866741836080003,0.0,2156352752.838202,7294.950893509998,0.0,371785.5208008929,0.0,0.0,1916644917.8074899,0.0,0.0,394159.50407008,2.0866741836080003,0.0,2156352752.838202,7294.950893509998,0.0,394159.50407008,2.0866741836080003,0.0,2156352752.838202,7294.950893509998,0.0
1951,1951119N06145,IRIS,,WP,multi,PHL,69.6,135.3,11717514.215146976,5630678.336518117,277163.20410156,33319943328.464523,14514649730.821804,821936003.95835,3028315.5757220825,1977841.219976963,97358.127136254,8037678209.089202,4409342988.227632,266773247.10255,7880387.979780255,4388902.178604323,223239.069946295,20689428578.688587,10710524964.69082,631530757.7168,10131976.349989174,5254306.096283819,277163.20410156,27422115404.063316,13308613394.806404,821936003.95835
1951,1951119N06145,IRIS,,WP,multi,TWN,49.5,96.3,1599064.6417966974,28681.457702653403,0.0,14194244039.913809,419551709.28476584,0.0,143915.0744323504,24241.875366226406,0.0,1859762208.8651657,342627251.4714658,0.0,1132898.2866388734,28681.457702653403,0.0,8617187635.220768,419551709.28476584,0.0,1483171.7413735942,28681.457702653403,0.0,12116109671.902636,419551709.28476584,0.0
1951,1951132N18111,UNNAMED,,WP,multi,CHN,25.4,49.4,5331407.669389148,0.0,0.0,9000013821.802008,0.0,0.0,1321257.83782971,0.0,0.0,2639405386.44846,0.0,0.0,2955819.1198793435,0.0,0.0,5097246374.9781885,0.0,0.0,3631171.1481486983,0.0,0.0,6341913734.365278,0.0,0.0
1951,1951132N18111,UNNAMED,,WP,multi,HKG,24.7,47.9,2290356.5143438373,0.0,0.0,18039061321.39201,0.0,0.0,,,,,,,,,,,,,,,,,,
