year,IBTrACS_ID,ISO3,pop_34kn,pop_64kn,pop_96kn,assets_34kn,assets_64kn,assets_96kn,pop_34kn_5km,pop_64kn_5km,pop_96kn_5km,assets_34kn_5km,assets_64kn_5km,assets_96kn_5km,pop_34kn_15km,pop_64kn_15km,pop_96kn_15km,assets_34kn_15km,assets_64kn_15km,assets_96kn_15km,pop_34kn_30km,pop_64kn_30km,pop_96kn_30km,assets_34kn_30km,assets_64kn_30km,assets_96kn_30km
1951,1951223N11148,KOR,14532465.180973118,4169353.843415095,0,53850564993.62781,12853033201.8468,0,2173002.2194695035,153673.09179694,0,9372156621.532278,517053209.7975,0,5047456.75938628,581636.17553723,0,19983190514.992813,1921031789.8828,0,9175882.61042944,1374644.08288541,0,32186454712.096127,4531859133.5169,0
1951,1951223N11148,PRK,1048028.1211707636,0,0,15181546.45102679,0,0,282076.4156374716,0,0,9638050.72504679,0,0,698669.7584694356,0,0,15181546.45102679,0,0,958233.2789466346,0,0,15181546.45102679,0,0
1951,1951224N12316,BRB,175801.2781983,0,0,868496369.8197,0,0,165712.32104498,0,0,813096070.9990001,0,0,166804.31530768,0,0,824172763.6634,0,0,166804.31530768,0,0,824172763.6634,0,0
1951,1951224N12316,CUB,1177.1154098950778,0,0,6172977.353125679,0,0,1176.2451171868,0,0,6171639.820734,0,0,1177.1154098950778,0,0,6172977.353125679,0,0,1177.1154098950778,0,0,6172977.353125679,0,0
1951,1951224N12316,DMA,51564.8819846918,51564.8819846918,0,179029948.953882,179029948.953882,0,43917.2067375058,43917.2067375058,0,149362309.830582,149362309.830582,0,51340.4904289058,51340.4904289058,0,177877376.044782,177877376.044782,0,51340.4904289058,51340.4904289058,0,177877376.044782,177877376.044782,0
1951,1951224N12316,DOM,73677.85001600732,0,0,284541038.42640716,0,0,27516.48965127657,0,0,64425108.992964,0,0,65164.44119872111,0,0,232472227.29100713,0,0,73021.83451307731,0,0,278866598.81578714,0,0
1951,1951224N12316,GLP,197668.1187511723,1929.29791641598,0,2565979.50841,2565979.50841,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,1951224N12316,HTI,864685.5937579157,0,0,909814639.1966617,0,0,342407.12820436,0,0,355669764.465566,0,0,814525.825790633,0,0,861296410.244487,0,0,853019.0664141696,0,0,897424935.5651417,0,0
1951,1951224N12316,JAM,1425493.1424536677,1425493.1424536677,1256737.3003497077,3627191558.8985744,3627191558.8985744,3220043748.395799,381856.12010557577,381856.12010557577,306069.5743292358,888593243.7440892,888593243.7440892,694954972.4417292,1135895.7613502676,1135895.7613502676,979852.5299640978,2773020571.654634,2773020571.654634,2401691410.056669,1423542.0971655776,1423542.0971655776,1256737.3003497077,3620634537.329964,3620634537.329964,3220043748.395799
1951,1951224N12316,KNA,15.9238510132,0,0,3369.43298038,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,1951224N12316,LCA,5182.32868046106,0,0,12155858.156685408,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
