# These data are freely available under the Creative Commons Attribution International (CC BY 4.0) Licence.
# When using the data please cite:
# Geiger, T.; Frieler, K.; Bresch, D.N. (2017) A global data set of tropical cyclone exposure (TCE-DAT). GFZ Data Services, http://doi.org/10.5880/pik.2017.005
# 
# Generated using the climada module ISIMIP v1.0, available under: https://github.com/davidnbresch/climada_module_isimip/releases/tag/v1.0
# 
year,IBTrACS_ID,TC_name,NatCatSERVICE_ID,genesis_basin,countries_affected,ISO3,v_land_SI,v_land_kn,34kn_pop,34kn_assets,64kn_pop,64kn_assets,96kn_pop,96kn_assets
1951,1951223N11148,MARGE,,WP,multi,CHN,24.3,47.3,147853.0,288174478.0,0.0,0.0,0.0,0.0
1951,1951223N11148,MARGE,,WP,multi,JPN,48.8,94.8,832684.0,4970919485.0,45766.0,490823276.0,0.0,0.0
1951,1951223N11148,MARGE,,WP,multi,KOR,39.2,76.3,14532465.0,53850564994.0,4169354.0,12853033202.0,0.0,0.0
1951,1951223N11148,MARGE,,WP,multi,PRK,31.7,61.6,1048028.0,15181546.0,0.0,0.0,0.0,0.0
1951,1951224N12316,CHARLIE,,NA,multi,BRB,21.1,41.1,175801.0,868496370.0,0.0,0.0,0.0,0.0
1951,1951224N12316,CHARLIE,,NA,multi,CUB,19.9,38.6,1177.0,6172977.0,0.0,0.0,0.0,0.0
1951,1951224N12316,CHARLIE,,NA,multi,DMA,48.5,94.2,51565.0,179029949.0,51565.0,179029949.0,0.0,0.0
1951,1951224N12316,CHARLIE,,NA,multi,DOM,28.3,55.1,73678.0,284541038.0,0.0,0.0,0.0,0.0
1951,1951224N12316,CHARLIE,,NA,multi,GLP,39.5,76.7,197668.0,2565980.0,1929.0,2565980.0,0.0,0.0
1951,1951224N12316,CHARLIE,,NA,multi,HTI,30.4,59.2,864686.0,909814639.0,0.0,0.0,0.0,0.0
1951,1951224N12316,CHARLIE,,NA,multi,JAM,68.1,132.4,1425493.0,3627191559.0,1425493.0,3627191559.0,1256737.0,3220043748.0
1951,1951224N12316,CHARLIE,,NA,multi,KNA,19.3,37.5,16.0,3369.0,0.0,0.0,0.0,0.0
1951,1951224N12316,CHARLIE,,NA,multi,LCA,27.7,53.8,5182.0,12155858.0,0.0,0.0,0.0,0.0
1951,1951224N12316,CHARLIE,,NA,multi,MEX,66.5,129.3,2083655.0,9112423326.0,801721.0,3248876519.0,238198.0,706638041.0
